1|1|Vacuum Carpets|0
2|1|Wash Outside|0
3|1|Polish Paint|0
4|2|Mow Lawn|0
5|2|Rake up leaves|0
6|2|Clip Roses|0
7|3|Get minced beef|0
8|3|Get tinned tomatoes|0
9|3|Get Peppers|0
10|4|Get Beer|0
11|4|Get Wine|0
12|4|Get Snacks|0
13|4|Get Balloons|0
14|5|Get Ring|0
15|5|Send Invites|0
16|5|Order Cake|0
17|5|Get Dress|0
18|6|Dust Surfaces|0
19|6|Vacuum Floor|0
20|6|Polish Floor|0
21|7|Dismantle Cage|0
22|7|New water in bottle|0
23|7|Wash hammocks|0
24|7|Clean Cage|0
25|7|Add fresh food|0
26|8|Change outside timed light|0
27|8|Change oven clock|0
28|8|Change microwave clock|0
29|8|Change Grandfather clock|0
30|9|Wash Bike|0
31|9|Lubricate chain|0
32|9|Adjust brakes|0
33|10|Book Accommodation|0
34|10|Book Flights|0
35|10|Book hire car|0
36|10|Get insurance|0
37|10|Buy sunscreen|0

